NAME                        READY   STATUS              RESTARTS   AGE
client-job-10s-100c-wld8l   0/1     ContainerCreating   0          10s
client-job-10s-10c-8kdwp    0/1     Pending             0          20s
client-job-10s-10c-sbmxl    0/1     Terminating         0          57s
client-job-10s-11c-9szf5    0/1     Pending             0          20s
client-job-10s-12c-t48sv    0/1     Pending             0          20s
client-job-10s-13c-82wvx    0/1     Pending             0          20s
client-job-10s-13c-926rd    0/1     Terminating         0          40s
client-job-10s-14c-czgh9    0/1     Pending             0          20s
client-job-10s-15c-5qbbs    0/1     Pending             0          19s
client-job-10s-16c-xhzqm    0/1     Pending             0          19s
client-job-10s-17c-kkldh    0/1     Pending             0          19s
client-job-10s-18c-b5vhs    0/1     Pending             0          19s
client-job-10s-19c-ccq6k    0/1     Pending             0          19s
client-job-10s-1c-5bgq6     0/1     ContainerCreating   0          21s
client-job-10s-1c-5k674     0/1     Terminating         0          41s
client-job-10s-1c-8hngf     0/1     Terminating         0          58s
client-job-10s-20c-gpp9b    0/1     Pending             0          19s
client-job-10s-21c-nhqr6    0/1     Pending             0          19s
client-job-10s-22c-ml8lp    0/1     Pending             0          19s
client-job-10s-23c-kwzbr    0/1     Pending             0          19s
client-job-10s-24c-bkf2t    0/1     Pending             0          19s
client-job-10s-25c-8rc57    0/1     Pending             0          19s
client-job-10s-25c-q4k98    0/1     Terminating         0          39s
client-job-10s-26c-jqx6j    0/1     ContainerCreating   0          18s
client-job-10s-27c-v4vvn    0/1     Pending             0          18s
client-job-10s-28c-j7w22    0/1     Pending             0          18s
client-job-10s-29c-xt8ht    0/1     Pending             0          18s
client-job-10s-2c-6m8xs     0/1     ContainerCreating   0          21s
client-job-10s-2c-mws57     0/1     Terminating         0          41s
client-job-10s-2c-z65t8     0/1     Terminating         0          58s
client-job-10s-30c-5rrmj    0/1     Pending             0          18s
client-job-10s-31c-m7w2r    0/1     Pending             0          18s
client-job-10s-32c-k5thb    0/1     Pending             0          18s
client-job-10s-33c-9c5mh    0/1     Pending             0          18s
client-job-10s-34c-5hpgf    0/1     Pending             0          18s
client-job-10s-35c-xd2xd    0/1     Pending             0          17s
client-job-10s-36c-krrnw    0/1     ContainerCreating   0          17s
client-job-10s-37c-rl8tx    0/1     Pending             0          17s
client-job-10s-38c-mj6pm    0/1     Pending             0          17s
client-job-10s-39c-l79dr    0/1     Pending             0          17s
client-job-10s-3c-44zzn     0/1     ContainerCreating   0          21s
client-job-10s-3c-fzgg9     0/1     Terminating         0          41s
client-job-10s-3c-snkkd     0/1     Terminating         0          58s
client-job-10s-40c-l2prm    0/1     Pending             0          17s
client-job-10s-41c-5qbw9    0/1     Pending             0          17s
client-job-10s-42c-t66jr    0/1     Pending             0          17s
client-job-10s-43c-77xrm    0/1     Pending             0          16s
client-job-10s-43c-8jbc6    0/1     Terminating         0          37s
client-job-10s-44c-fl77n    0/1     Terminating         0          37s
client-job-10s-44c-w5989    0/1     Pending             0          16s
client-job-10s-45c-9xqlg    0/1     Terminating         0          37s
client-job-10s-45c-k28fz    0/1     Pending             0          16s
client-job-10s-46c-lpcw9    0/1     Pending             0          16s
client-job-10s-46c-pzwmt    0/1     Terminating         0          37s
client-job-10s-47c-98dg9    0/1     Pending             0          16s
client-job-10s-47c-kn56v    0/1     Terminating         0          37s
client-job-10s-48c-plcjb    0/1     Pending             0          16s
client-job-10s-48c-v6sdn    0/1     Terminating         0          37s
client-job-10s-49c-7lpvk    0/1     Terminating         0          36s
client-job-10s-49c-kflrf    0/1     Pending             0          16s
client-job-10s-4c-d8mdt     0/1     Terminating         0          41s
client-job-10s-4c-lg5v9     0/1     ContainerCreating   0          20s
client-job-10s-4c-n6nhd     0/1     Terminating         0          58s
client-job-10s-50c-wj7mn    0/1     Pending             0          16s
client-job-10s-51c-zc7fk    0/1     Pending             0          15s
client-job-10s-52c-x9gx6    0/1     Pending             0          15s
client-job-10s-53c-8btjv    0/1     ContainerCreating   0          15s
client-job-10s-54c-9qktg    0/1     Pending             0          15s
client-job-10s-55c-fllkp    0/1     Pending             0          15s
client-job-10s-56c-vtrcv    0/1     Pending             0          15s
client-job-10s-57c-gwjrs    0/1     Pending             0          15s
client-job-10s-58c-nkpgq    0/1     Pending             0          15s
client-job-10s-59c-9w58f    0/1     Pending             0          15s
client-job-10s-5c-2zht4     0/1     Terminating         0          58s
client-job-10s-5c-mvrm6     0/1     ContainerCreating   0          20s
client-job-10s-60c-xpsc7    0/1     Pending             0          14s
client-job-10s-61c-6fhn5    0/1     Pending             0          14s
client-job-10s-62c-qlkbz    0/1     Pending             0          14s
client-job-10s-63c-mrn4v    0/1     Pending             0          14s
client-job-10s-64c-d84qk    0/1     ContainerCreating   0          14s
client-job-10s-65c-92clc    0/1     Pending             0          14s
client-job-10s-66c-lr6m8    0/1     Pending             0          14s
client-job-10s-67c-db6p4    0/1     Pending             0          14s
client-job-10s-68c-l8lf6    0/1     Pending             0          13s
client-job-10s-69c-8l46t    0/1     Pending             0          13s
client-job-10s-6c-sq54x     0/1     Terminating         0          58s
client-job-10s-6c-wpz7r     0/1     Pending             0          20s
client-job-10s-70c-m6zrf    0/1     Pending             0          13s
client-job-10s-71c-tgngj    0/1     Pending             0          13s
client-job-10s-72c-5knbk    0/1     Pending             0          13s
client-job-10s-73c-l8nmm    0/1     Pending             0          13s
client-job-10s-74c-m4gp5    0/1     Pending             0          13s
client-job-10s-75c-k5sv4    0/1     Pending             0          13s
client-job-10s-76c-x46fh    0/1     Pending             0          12s
client-job-10s-77c-zb8tc    0/1     Pending             0          12s
client-job-10s-78c-2hpfx    0/1     Pending             0          12s
client-job-10s-79c-248sq    0/1     Pending             0          12s
client-job-10s-7c-49rnw     0/1     Pending             0          20s
client-job-10s-7c-6d8qn     0/1     Terminating         0          57s
client-job-10s-80c-dbftk    0/1     Pending             0          12s
client-job-10s-81c-7bt7c    0/1     Pending             0          12s
client-job-10s-82c-srxvk    0/1     ContainerCreating   0          12s
client-job-10s-83c-nwvp5    0/1     ContainerCreating   0          12s
client-job-10s-84c-dsg2n    0/1     ContainerCreating   0          12s
client-job-10s-85c-8gwjg    0/1     Pending             0          11s
client-job-10s-86c-wpgg4    0/1     Pending             0          11s
client-job-10s-87c-2r4gl    0/1     Pending             0          11s
client-job-10s-88c-qw454    0/1     Pending             0          11s
client-job-10s-89c-475ck    0/1     Pending             0          11s
client-job-10s-8c-wmhzp     0/1     Pending             0          20s
client-job-10s-8c-xslvn     0/1     Terminating         0          57s
client-job-10s-90c-c8kxz    0/1     Pending             0          11s
client-job-10s-91c-rwrz9    0/1     Pending             0          11s
client-job-10s-92c-2xg6r    0/1     Pending             0          11s
client-job-10s-93c-525qq    0/1     Pending             0          10s
client-job-10s-94c-7xg84    0/1     Pending             0          10s
client-job-10s-95c-ggdmc    0/1     Pending             0          10s
client-job-10s-96c-r7r5j    0/1     Pending             0          10s
client-job-10s-97c-hphjn    0/1     Pending             0          10s
client-job-10s-98c-tv6h8    0/1     Pending             0          10s
client-job-10s-99c-4g4bd    0/1     ContainerCreating   0          10s
client-job-10s-9c-4slsw     0/1     Pending             0          20s
client-job-10s-9c-m7v2j     0/1     Terminating         0          57s
client-job-8s-100c-gqd5w    0/1     Terminating         0          2m48s
client-job-8s-25c-mkjqh     0/1     Terminating         0          2m57s
client-job-8s-26c-hwjhl     0/1     Terminating         0          2m57s
client-job-8s-27c-cg9zg     0/1     Terminating         0          2m57s
client-job-8s-28c-gh6lz     0/1     Terminating         0          2m57s
client-job-8s-29c-ll62l     0/1     Terminating         0          2m57s
client-job-8s-30c-9fc8w     0/1     Terminating         0          2m56s
client-job-8s-31c-hczrg     0/1     Terminating         0          2m56s
client-job-8s-44c-6qd6c     0/1     Terminating         0          2m55s
client-job-8s-45c-6nvjw     0/1     Terminating         0          2m55s
client-job-8s-46c-7rlcf     0/1     Terminating         0          2m55s
client-job-8s-47c-fp7k2     0/1     Terminating         0          2m54s
client-job-8s-48c-nxtrm     0/1     Terminating         0          2m54s
client-job-8s-49c-mhrld     0/1     Terminating         0          2m54s
client-job-8s-50c-cb8xt     0/1     Terminating         0          2m54s
client-job-8s-52c-lc5wf     0/1     Terminating         0          2m54s
client-job-8s-53c-92k8x     0/1     Terminating         0          2m54s
client-job-8s-54c-tm6x6     0/1     Terminating         0          2m54s
client-job-8s-55c-6z4l2     0/1     Terminating         0          2m53s
client-job-8s-56c-qhxpb     0/1     Terminating         0          2m53s
client-job-8s-57c-rhcrr     0/1     Terminating         0          2m53s
client-job-8s-58c-jqlbs     0/1     Terminating         0          2m53s
client-job-8s-59c-6x5xg     0/1     Terminating         0          2m53s
client-job-8s-60c-76sgn     0/1     Terminating         0          2m53s
client-job-8s-61c-rwzwp     0/1     Terminating         0          2m53s
client-job-8s-62c-8g7tw     0/1     Terminating         0          2m53s
client-job-8s-63c-7t2hj     0/1     Terminating         0          2m53s
client-job-8s-64c-7spsr     0/1     Terminating         0          2m52s
client-job-8s-65c-tjvzt     0/1     Terminating         0          2m52s
client-job-8s-66c-kpf4c     0/1     Terminating         0          2m52s
client-job-8s-67c-brk5t     0/1     Terminating         0          2m52s
client-job-8s-68c-kpxc4     0/1     Terminating         0          2m52s
client-job-8s-70c-rh67w     0/1     Terminating         0          2m52s
client-job-8s-71c-lkd7q     0/1     Terminating         0          2m52s
client-job-8s-72c-6tqtc     0/1     Terminating         0          2m51s
client-job-8s-73c-twxfh     0/1     Terminating         0          2m51s
client-job-8s-74c-w8z2p     0/1     Terminating         0          2m51s
client-job-8s-75c-kmtcz     0/1     Terminating         0          2m51s
client-job-8s-76c-7gqtm     0/1     Terminating         0          2m51s
client-job-8s-77c-72qn5     0/1     Terminating         0          2m51s
client-job-8s-79c-kt9qs     0/1     Terminating         0          2m51s
client-job-8s-7c-4tq7x      0/1     Terminating         0          2m59s
client-job-8s-80c-kqrvg     0/1     Terminating         0          2m50s
client-job-8s-81c-sdmtk     0/1     Terminating         0          2m50s
client-job-8s-82c-nhgjg     0/1     Terminating         0          2m50s
client-job-8s-83c-97hwh     0/1     Terminating         0          2m50s
client-job-8s-84c-b688w     0/1     Terminating         0          2m50s
client-job-8s-85c-b6nfq     0/1     Terminating         0          2m50s
client-job-8s-86c-8n24t     0/1     Terminating         0          2m50s
client-job-8s-87c-84pbq     0/1     Terminating         0          2m50s
client-job-8s-88c-tqzf7     0/1     Terminating         0          2m50s
client-job-8s-89c-cd5p8     0/1     Terminating         0          2m49s
client-job-8s-90c-5qgpb     0/1     Terminating         0          2m49s
client-job-8s-91c-ddszc     0/1     Terminating         0          2m49s
client-job-8s-92c-jlqrb     0/1     Terminating         0          2m49s
client-job-8s-93c-m7q7k     0/1     Terminating         0          2m49s
