NAME                       READY   STATUS              RESTARTS   AGE
client-job-4s-100c-2pxjk   0/1     Pending             0          8s
client-job-4s-10c-5h8wr    0/1     ContainerCreating   0          19s
client-job-4s-10c-pd846    0/1     Terminating         0          39s
client-job-4s-11c-g87pk    0/1     Terminating         0          39s
client-job-4s-11c-jxbqd    0/1     ContainerCreating   0          18s
client-job-4s-12c-dqv6w    0/1     ContainerCreating   0          18s
client-job-4s-12c-mrhc7    0/1     Terminating         0          39s
client-job-4s-13c-hshjd    0/1     ContainerCreating   0          18s
client-job-4s-13c-pfq5c    0/1     Terminating         0          39s
client-job-4s-14c-298lk    0/1     ContainerCreating   0          18s
client-job-4s-14c-4dcj4    0/1     Terminating         0          39s
client-job-4s-15c-2b2cv    0/1     ContainerCreating   0          18s
client-job-4s-15c-8pvnz    0/1     Terminating         0          39s
client-job-4s-16c-rp5mx    0/1     Terminating         0          39s
client-job-4s-16c-x6qx7    0/1     ContainerCreating   0          18s
client-job-4s-17c-skn47    0/1     ContainerCreating   0          18s
client-job-4s-17c-x4v8n    0/1     Terminating         0          39s
client-job-4s-18c-524f5    0/1     ContainerCreating   0          18s
client-job-4s-18c-dnn64    0/1     Terminating         0          39s
client-job-4s-19c-5sgzm    0/1     Terminating         0          39s
client-job-4s-19c-x7gf6    0/1     ContainerCreating   0          18s
client-job-4s-1c-5c2st     0/1     ContainerCreating   0          19s
client-job-4s-20c-bcxvr    0/1     Terminating         0          38s
client-job-4s-20c-vwgkl    0/1     ContainerCreating   0          18s
client-job-4s-21c-fl79s    0/1     ContainerCreating   0          17s
client-job-4s-21c-nzwjb    0/1     Terminating         0          38s
client-job-4s-22c-95d65    0/1     ContainerCreating   0          17s
client-job-4s-22c-t4j5x    0/1     Terminating         0          38s
client-job-4s-23c-7z8j4    0/1     ContainerCreating   0          17s
client-job-4s-23c-qjq2b    0/1     Terminating         0          38s
client-job-4s-24c-8kdqg    0/1     Terminating         0          38s
client-job-4s-24c-jths4    0/1     ContainerCreating   0          17s
client-job-4s-25c-5hmxw    0/1     Terminating         0          38s
client-job-4s-25c-xvrl5    0/1     ContainerCreating   0          17s
client-job-4s-26c-5t5w8    0/1     ContainerCreating   0          17s
client-job-4s-26c-rdlbl    0/1     Terminating         0          38s
client-job-4s-27c-46ltv    0/1     ContainerCreating   0          17s
client-job-4s-27c-sb6cg    0/1     Terminating         0          38s
client-job-4s-28c-6nz6d    0/1     ContainerCreating   0          17s
client-job-4s-28c-fl5fl    0/1     Terminating         0          38s
client-job-4s-29c-qnl89    0/1     ContainerCreating   0          17s
client-job-4s-29c-s57c6    0/1     Terminating         0          37s
client-job-4s-2c-cs92d     0/1     ContainerCreating   0          19s
client-job-4s-30c-6ppz6    0/1     ContainerCreating   0          16s
client-job-4s-30c-9cg86    0/1     Terminating         0          37s
client-job-4s-31c-tfwz2    0/1     Terminating         0          37s
client-job-4s-31c-xm6r9    0/1     ContainerCreating   0          16s
client-job-4s-32c-jcbzc    0/1     ContainerCreating   0          16s
client-job-4s-32c-slgfl    0/1     Terminating         0          37s
client-job-4s-33c-5dzhm    0/1     Terminating         0          37s
client-job-4s-33c-rh9p7    0/1     ContainerCreating   0          16s
client-job-4s-34c-4t7ps    0/1     Terminating         0          37s
client-job-4s-34c-8x679    0/1     ContainerCreating   0          16s
client-job-4s-35c-k5rq8    0/1     Terminating         0          37s
client-job-4s-35c-ww94z    0/1     ContainerCreating   0          16s
client-job-4s-36c-g9z65    0/1     ContainerCreating   0          16s
client-job-4s-36c-qjhfs    0/1     Terminating         0          37s
client-job-4s-37c-bhfzv    0/1     Terminating         0          36s
client-job-4s-37c-k6qj6    0/1     ContainerCreating   0          16s
client-job-4s-38c-l447t    0/1     Terminating         0          36s
client-job-4s-38c-m8zwl    0/1     ContainerCreating   0          15s
client-job-4s-39c-8xlss    0/1     ContainerCreating   0          15s
client-job-4s-39c-gtktm    0/1     Terminating         0          36s
client-job-4s-3c-vr9kk     0/1     ContainerCreating   0          19s
client-job-4s-40c-mvn47    0/1     ContainerCreating   0          15s
client-job-4s-40c-qnl7z    0/1     Terminating         0          36s
client-job-4s-41c-f9cgd    0/1     Terminating         0          36s
client-job-4s-41c-k99q4    0/1     ContainerCreating   0          15s
client-job-4s-42c-fwlkz    0/1     ContainerCreating   0          15s
client-job-4s-42c-qcwww    0/1     Terminating         0          36s
client-job-4s-43c-qksqf    0/1     Terminating         0          36s
client-job-4s-43c-z95bh    0/1     ContainerCreating   0          15s
client-job-4s-44c-kq7ff    0/1     ContainerCreating   0          15s
client-job-4s-44c-lknv2    0/1     Terminating         0          36s
client-job-4s-45c-6n4vw    0/1     ContainerCreating   0          15s
client-job-4s-45c-wvpv6    0/1     Terminating         0          36s
client-job-4s-46c-4x29m    0/1     Terminating         0          35s
client-job-4s-46c-7ttsg    0/1     Pending             0          14s
client-job-4s-47c-clmtt    0/1     Terminating         0          35s
client-job-4s-47c-tf4fm    0/1     Pending             0          14s
client-job-4s-48c-h5p9c    0/1     Terminating         0          35s
client-job-4s-48c-qtfhw    0/1     Pending             0          14s
client-job-4s-49c-4b849    0/1     Pending             0          14s
client-job-4s-49c-nxcth    0/1     Terminating         0          35s
client-job-4s-4c-bhdk4     0/1     ContainerCreating   0          19s
client-job-4s-50c-vqlnh    0/1     Terminating         0          35s
client-job-4s-50c-w88kj    0/1     Pending             0          14s
client-job-4s-51c-kh6bp    0/1     Pending             0          14s
client-job-4s-52c-9g6d5    0/1     Pending             0          14s
client-job-4s-53c-69zfl    0/1     Pending             0          14s
client-job-4s-54c-j7kc7    0/1     Pending             0          14s
client-job-4s-55c-4q6xm    0/1     Pending             0          13s
client-job-4s-56c-5sksl    0/1     Pending             0          13s
client-job-4s-57c-zr826    0/1     ContainerCreating   0          13s
client-job-4s-58c-mxfm4    0/1     Pending             0          13s
client-job-4s-59c-5pblv    0/1     Pending             0          13s
client-job-4s-5c-bz4rv     0/1     ContainerCreating   0          19s
client-job-4s-5c-khpsx     0/1     Terminating         0          40s
client-job-4s-60c-tf68b    0/1     Pending             0          13s
client-job-4s-61c-tt5rt    0/1     Pending             0          13s
client-job-4s-62c-pcs7n    0/1     Pending             0          13s
client-job-4s-63c-rjvsm    0/1     Pending             0          12s
client-job-4s-64c-7x9b5    0/1     Pending             0          12s
client-job-4s-65c-ltrfx    0/1     Pending             0          12s
client-job-4s-66c-98ghv    0/1     ContainerCreating   0          12s
client-job-4s-67c-7lqhd    0/1     Pending             0          12s
client-job-4s-68c-lpkvp    0/1     Pending             0          12s
client-job-4s-69c-btflz    0/1     Pending             0          12s
client-job-4s-6c-vzrsf     0/1     Terminating         0          40s
client-job-4s-6c-w8szr     0/1     ContainerCreating   0          19s
client-job-4s-70c-nzvrk    0/1     Pending             0          12s
client-job-4s-71c-x6snn    0/1     Pending             0          11s
client-job-4s-72c-9bxl8    0/1     Pending             0          11s
client-job-4s-73c-7jjvc    0/1     Pending             0          11s
client-job-4s-74c-nrvbv    0/1     Pending             0          11s
client-job-4s-75c-q7zrd    0/1     Pending             0          11s
client-job-4s-76c-wf2qp    0/1     ContainerCreating   0          11s
client-job-4s-77c-thcc4    0/1     Pending             0          11s
client-job-4s-78c-x6dfd    0/1     Pending             0          11s
client-job-4s-79c-sl92r    0/1     Pending             0          11s
client-job-4s-7c-qr4vd     0/1     Terminating         0          40s
client-job-4s-7c-xzxh7     0/1     ContainerCreating   0          19s
client-job-4s-80c-tl7zk    0/1     Pending             0          10s
client-job-4s-81c-vjss4    0/1     Pending             0          10s
client-job-4s-82c-wcn7p    0/1     Pending             0          10s
client-job-4s-83c-zd4q7    0/1     Pending             0          10s
client-job-4s-84c-84cjj    0/1     Pending             0          10s
client-job-4s-85c-gvszf    0/1     Pending             0          10s
client-job-4s-86c-dljmf    0/1     Pending             0          10s
client-job-4s-87c-pdp5n    0/1     Pending             0          10s
client-job-4s-88c-57d4v    0/1     Pending             0          9s
client-job-4s-89c-g54hk    0/1     Pending             0          9s
client-job-4s-8c-ncw4v     0/1     ContainerCreating   0          19s
client-job-4s-8c-xxct8     0/1     Terminating         0          40s
client-job-4s-90c-7g27z    0/1     Pending             0          9s
client-job-4s-91c-pkd59    0/1     Pending             0          9s
client-job-4s-92c-5qqfj    0/1     ContainerCreating   0          9s
