NAME                      READY   STATUS              RESTARTS   AGE
client-job-4s-46c-7ttsg   0/1     Terminating         0          3m31s
client-job-4s-47c-tf4fm   0/1     Terminating         0          3m31s
client-job-4s-48c-qtfhw   0/1     Terminating         0          3m31s
client-job-4s-49c-4b849   0/1     Terminating         0          3m31s
client-job-4s-50c-w88kj   0/1     Terminating         0          3m31s
client-job-4s-51c-kh6bp   0/1     Terminating         0          3m31s
client-job-4s-52c-9g6d5   0/1     Terminating         0          3m31s
client-job-4s-53c-69zfl   0/1     Terminating         0          3m31s
client-job-4s-54c-j7kc7   0/1     Terminating         0          3m31s
client-job-4s-55c-4q6xm   0/1     Terminating         0          3m30s
client-job-4s-56c-5sksl   0/1     Terminating         0          3m30s
client-job-4s-58c-mxfm4   0/1     Terminating         0          3m30s
client-job-4s-59c-5pblv   0/1     Terminating         0          3m30s
client-job-4s-60c-tf68b   0/1     Terminating         0          3m30s
client-job-4s-61c-tt5rt   0/1     Terminating         0          3m30s
client-job-4s-62c-pcs7n   0/1     Terminating         0          3m30s
client-job-4s-63c-rjvsm   0/1     Terminating         0          3m29s
client-job-4s-64c-7x9b5   0/1     Terminating         0          3m29s
client-job-4s-65c-ltrfx   0/1     Terminating         0          3m29s
client-job-4s-70c-nzvrk   0/1     Completed           0          3m29s
client-job-4s-71c-x6snn   0/1     Terminating         0          3m28s
client-job-4s-72c-9bxl8   0/1     Terminating         0          3m28s
client-job-4s-73c-7jjvc   0/1     Terminating         0          3m28s
client-job-4s-74c-nrvbv   0/1     Terminating         0          3m28s
client-job-4s-75c-q7zrd   0/1     Terminating         0          3m28s
client-job-6s-10c-gzwlz   0/1     ContainerCreating   0          15s
client-job-6s-10c-hl7rw   0/1     Terminating         0          31s
client-job-6s-11c-8ss4t   0/1     ContainerCreating   0          15s
client-job-6s-12c-ds4q6   0/1     ContainerCreating   0          15s
client-job-6s-13c-jlwbd   0/1     ContainerCreating   0          15s
client-job-6s-14c-pc9j2   0/1     ContainerCreating   0          14s
client-job-6s-15c-84tlm   0/1     ContainerCreating   0          14s
client-job-6s-16c-pxlgf   0/1     ContainerCreating   0          14s
client-job-6s-17c-flknt   0/1     ContainerCreating   0          14s
client-job-6s-18c-tvz5z   0/1     ContainerCreating   0          14s
client-job-6s-19c-656mx   0/1     ContainerCreating   0          14s
client-job-6s-1c-7k82k    0/1     Terminating         0          32s
client-job-6s-1c-h5p7c    0/1     ContainerCreating   0          16s
client-job-6s-20c-z86gk   0/1     ContainerCreating   0          14s
client-job-6s-21c-x95v8   0/1     ContainerCreating   0          14s
client-job-6s-22c-ldtcz   0/1     ContainerCreating   0          14s
client-job-6s-23c-pd27b   0/1     ContainerCreating   0          13s
client-job-6s-24c-whzns   0/1     ContainerCreating   0          13s
client-job-6s-25c-xlq9k   0/1     ContainerCreating   0          13s
client-job-6s-26c-pkmhk   0/1     ContainerCreating   0          13s
client-job-6s-27c-g49xg   0/1     ContainerCreating   0          13s
client-job-6s-28c-pjmj8   0/1     ContainerCreating   0          13s
client-job-6s-29c-6tj4f   0/1     ContainerCreating   0          13s
client-job-6s-2c-dfh9g    0/1     ContainerCreating   0          16s
client-job-6s-2c-jkqc4    0/1     Terminating         0          32s
client-job-6s-30c-2pc9q   0/1     ContainerCreating   0          13s
client-job-6s-31c-qtmlq   0/1     ContainerCreating   0          12s
client-job-6s-32c-dz55f   0/1     ContainerCreating   0          12s
client-job-6s-33c-ldgl2   0/1     ContainerCreating   0          12s
client-job-6s-34c-8scmh   0/1     ContainerCreating   0          12s
client-job-6s-35c-gpcwc   0/1     ContainerCreating   0          12s
client-job-6s-36c-hphht   0/1     ContainerCreating   0          12s
client-job-6s-37c-dphs5   0/1     ContainerCreating   0          12s
client-job-6s-38c-kghxx   0/1     ContainerCreating   0          12s
client-job-6s-39c-lkxln   0/1     ContainerCreating   0          11s
client-job-6s-3c-c8ljj    0/1     Terminating         0          32s
client-job-6s-3c-g5btb    0/1     ContainerCreating   0          16s
client-job-6s-40c-dpr55   0/1     ContainerCreating   0          11s
client-job-6s-41c-fkww4   0/1     ContainerCreating   0          11s
client-job-6s-42c-7kjm6   0/1     ContainerCreating   0          11s
client-job-6s-43c-nqjq2   0/1     ContainerCreating   0          11s
client-job-6s-44c-vf56f   0/1     ContainerCreating   0          11s
client-job-6s-45c-nmh9s   0/1     ContainerCreating   0          11s
client-job-6s-46c-5g5kl   0/1     ContainerCreating   0          11s
client-job-6s-47c-rrrlg   0/1     ContainerCreating   0          10s
client-job-6s-48c-c72b7   0/1     ContainerCreating   0          10s
client-job-6s-49c-54mnw   0/1     ContainerCreating   0          10s
client-job-6s-4c-7pcs4    0/1     ContainerCreating   0          16s
client-job-6s-4c-bjpbj    0/1     Terminating         0          32s
client-job-6s-50c-bb8l9   0/1     ContainerCreating   0          10s
client-job-6s-5c-rb7fw    0/1     Terminating         0          32s
client-job-6s-5c-w7pdm    0/1     ContainerCreating   0          15s
client-job-6s-6c-vrb27    0/1     Terminating         0          32s
client-job-6s-6c-whvkw    0/1     ContainerCreating   0          15s
client-job-6s-7c-mw2d5    0/1     ContainerCreating   0          15s
client-job-6s-7c-t5jk9    0/1     Terminating         0          32s
client-job-6s-8c-kvs6p    0/1     ContainerCreating   0          15s
client-job-6s-8c-p9h59    0/1     Terminating         0          32s
client-job-6s-9c-s6vht    0/1     Terminating         0          31s
client-job-6s-9c-t8h5n    0/1     ContainerCreating   0          15s
