run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
6,cpp,2,10,1,10,10,10,10,1.4958222,2.457603,0.324613,0,14.958222000000001,100.0
6,cpp,2,10,10,10,10,100,100,0.4025453,0.5423837999999999,0.255554,0,40.25453,100.0
6,cpp,2,10,100,10,10,1000,1000,0.388027318,0.42986719999999984,0.35829894999999995,0,388.02731800000004,100.0
6,cpp,2,10,500,10,10,5000,5000,0.3715973574,0.391079404,0.34161868400000006,0,1857.9867869999998,100.0
6,cpp,2,10,1000,10,10,10000,10000,0.3716909063,0.38084090500000006,0.3607509439999993,0,3716.909063,100.0
6,cpp,2,10,10000,10,10,100000,100000,0.39298973551999944,0.39748273259999867,0.3862390913999999,0,39298.973551999945,100.0
6,cpp,2,20,1,20,20,20,20,1.2620106500000001,3.209581,0.149114,0,25.240213,100.0
6,cpp,2,20,10,20,20,200,200,0.65543768,1.0545579000000003,0.3012089,0,131.087536,100.0
6,cpp,2,20,100,20,20,2000,2000,0.566672537,0.6464628599999998,0.4460089800000004,0,1133.3450739999998,100.0
6,cpp,2,20,500,20,20,10000,10000,0.6216753036000002,0.6573742499999995,0.5611580999999995,0,6216.753036000002,100.0
6,cpp,2,20,1000,20,20,20000,20000,0.6817372655999999,0.713029274000001,0.6311487039999999,0,13634.745311999997,100.0
6,cpp,2,20,10000,20,20,200000,200000,0.5851854569049999,0.6122403579000033,0.5492566089999994,0,117037.09138099999,100.0
6,cpp,2,30,1,30,30,30,30,1.0041731999999999,3.032309,0.206407,0,30.125196,100.0
6,cpp,2,30,10,30,30,300,300,0.6425245833333333,1.1088844000000002,0.21619620000000003,0,192.757375,100.0
6,cpp,2,30,100,30,30,3000,3000,0.801754224,0.9979421499999995,0.47094920000000023,0,2405.262672,100.0
6,cpp,2,30,500,30,30,15000,15000,0.8262515786000001,0.920252294,0.7091919520000001,0,12393.773679,100.0
6,cpp,2,30,1000,30,30,30000,30000,0.8238000771333331,0.9391594329999994,0.5178846079999997,0,24714.002313999998,100.0
