run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate,language
7,go,2,10,1,10,10,10,10,1.4607164,2.664163,0.210328,0,14.607164,100.0,go
7,go,2,10,10,10,10,100,100,0.25579673,0.3089601,0.1764057,0,25.579673,100.0,go
7,go,2,10,100,10,10,1000,1000,0.263122003,0.27683334999999987,0.24406867000000002,0,263.122003,100.0,go
7,go,2,10,500,10,10,5000,5000,0.22434467119999996,0.22978931800000005,0.21992184999999992,0,1121.7233559999997,100.0,go
7,go,2,10,1000,10,10,10000,10000,0.2170884677,0.22617427699999984,0.20411151400000005,0,2170.884677,100.0,go
7,go,2,10,10000,10,10,100000,100000,0.2376655033800003,0.24286849240000052,0.23050868219999937,0,23766.55033800003,100.0,go
7,go,2,20,1,20,20,20,20,1.86239795,3.131841,0.140658,0,37.247959,100.0,go
7,go,2,20,10,20,20,200,200,0.400620305,0.5431326000000001,0.2105146,0,80.124061,100.0,go
7,go,2,20,100,20,20,2000,2000,0.377026683,0.40055713999999987,0.33519439000000006,0,754.053366,100.0,go
7,go,2,20,500,20,20,10000,10000,0.32829588419999994,0.34084524000000005,0.312252988,0,3282.958841999999,100.0,go
7,go,2,20,1000,20,20,20000,20000,0.3467423260000001,0.3569049220000004,0.33089407799999965,0,6934.846520000002,100.0,go
7,go,2,20,10000,20,20,200000,200000,0.3438898571200001,0.3493908231999996,0.33833445780000104,0,68777.97142400002,100.0,go
7,go,2,30,1,30,30,30,30,1.0518837,2.174406,0.209374,0,31.556511,100.0,go
7,go,2,30,10,30,30,300,300,0.5924984966666667,0.7045394,0.4254371,0,177.749549,100.0,go
7,go,2,30,100,30,30,3000,3000,0.43711365900000004,0.48774969999999984,0.3810401400000001,0,1311.340977,100.0,go
7,go,2,30,500,30,30,15000,15000,0.4792970832,0.49731478199999984,0.4565227460000001,0,7189.456248,100.0,go
7,go,2,30,1000,30,30,30000,30000,0.44191873326666653,0.46376081199999963,0.4199716789999992,0,13257.561997999996,100.0,go
7,go,2,30,10000,30,30,300000,300000,0.43120186180666675,0.4425994247000015,0.41731296430000103,0,129360.55854200003,100.0,go
7,go,2,40,1,40,40,40,40,0.966132075,1.938948,0.110701,0,38.645283,100.0,go
7,go,2,40,10,40,40,400,400,0.6733448925000001,0.9650758000000002,0.3818054000000001,0,269.337957,100.0,go
7,go,2,40,100,40,40,4000,4000,0.6006824675,0.66091418,0.5347346199999999,0,2402.72987,100.0,go
7,go,2,40,500,40,40,20000,20000,0.5232976119000001,0.547947656,0.495111004,0,10465.952238000002,100.0,go
7,go,2,40,1000,40,40,40000,40000,0.5500435364249999,0.574793907000001,0.5022584859999999,0,22001.741457,100.0,go
7,go,2,40,10000,40,40,400000,400000,0.5292712102725001,0.5364887585000006,0.5166356945000004,0,211708.484109,100.0,go
7,go,2,50,1,50,50,50,50,1.90455128,3.941283,0.120825,0,95.227564,100.0,go
7,go,2,50,10,50,50,500,500,0.727141276,1.1065774,0.3248101,0,363.57063800000003,100.0,go
7,go,2,50,100,50,50,5000,5000,0.6914523865999999,0.7562041499999999,0.5824084800000001,0,3457.2619329999998,100.0,go
7,go,2,50,500,50,50,25000,25000,0.64137990176,0.6713549679999993,0.5875233240000007,0,16034.497544,100.0,go
7,go,2,50,1000,50,50,50000,50000,0.65514751988,0.6879662730000005,0.5956684750000002,0,32757.375994,100.0,go
7,go,2,50,10000,50,50,500000,500000,0.6324901255920001,0.6448279481000007,0.6134085189000006,0,316245.0627960001,100.0,go
7,go,2,60,1,60,60,60,60,1.8849368,4.125688,0.116603,0,113.096208,100.0,go
7,go,2,60,10,60,60,600,600,0.93380614,1.1857782000000001,0.18905809999999995,0,560.283684,100.0,go
7,go,2,60,100,60,60,6000,6000,0.721695001,0.8228195599999998,0.6057613900000001,0,4330.170005999999,100.0,go
7,go,2,60,500,60,60,30000,30000,0.742264075,0.778240318,0.6284597780000002,0,22267.922250000003,100.0,go
7,go,2,60,1000,60,60,60000,60000,0.7168765932000001,0.7584175569999992,0.6454019919999998,0,43012.595592000005,100.0,go
7,go,2,60,10000,60,60,600000,600000,0.7483623524566667,0.7564567966999993,0.7348057226000012,0,449017.411474,100.0,go
7,go,2,70,1,70,70,70,70,2.1878167,4.859039,0.042457,0,153.147169,100.0,go
7,go,2,70,10,70,70,700,700,0.82241604,1.3198235999999999,0.3583133,0,575.691228,100.0,go
7,go,2,70,100,70,70,7000,7000,0.8724564789999999,0.9864833600000001,0.6969027699999998,0,6107.195353,100.0,go
7,go,2,70,500,70,70,35000,35000,0.8549129251142857,0.909938956,0.7558033599999997,0,29921.952379,100.0,go
7,go,2,70,1000,70,70,70000,70000,0.8327017874428572,0.8682193759999999,0.7608959369999999,0,58289.125121,100.0,go
7,go,2,70,10000,70,70,700000,700000,0.8456658077214284,0.8596862853999977,0.8221267459000019,0,591966.065405,100.0,go
7,go,2,80,1,80,80,80,80,1.3559894,3.349549,0.10507,0,108.479152,100.0,go
7,go,2,80,10,80,80,800,800,1.102489395,1.7528893,0.23028370000000004,0,881.991516,100.0,go
7,go,2,80,100,80,80,8000,8000,0.939756863375,1.0396596800000002,0.7594248899999999,0,7518.054907,100.0,go
7,go,2,80,500,80,80,40000,40000,0.9812525048500002,1.051722274,0.8883922320000005,0,39250.100194,100.0,go
7,go,2,80,1000,80,80,80000,80000,1.0004571155000002,1.032265943,0.9301572359999991,0,80036.56924,100.0,go
7,go,2,80,10000,80,80,800000,800000,0.9543378858362501,0.9668653657999932,0.936356797000008,0,763470.3086690002,100.0,go
7,go,2,90,1,90,90,90,90,2.1050082333333333,7.380992,0.107518,0,189.450741,100.0,go
7,go,2,90,10,90,90,900,900,1.5099555077777775,2.2899517,0.6337843999999999,0,1358.959957,100.0,go
7,go,2,90,100,90,90,9000,9000,1.0400531906666666,1.1945866899999995,0.8086225500000004,0,9360.478716,100.0,go
7,go,2,90,500,90,90,45000,45000,1.0897188322444447,1.1409543880000002,1.0276996860000003,0,49037.34745100001,100.0,go
7,go,2,90,1000,90,90,90000,90000,1.0729353346222223,1.1084034939999987,0.9894019470000011,0,96564.180116,100.0,go
7,go,2,90,10000,90,90,900000,900000,1.0469891546544445,1.0708749320000024,1.0107980314999998,0,942290.2391890001,100.0,go
7,go,2,100,1,100,100,100,100,2.6977945,8.24414,0.10169,0,269.77945,100.0,go
