run_number,language,server_replicas,num_concurrent_clients_scenario,num_messages_per_client_scenario,total_connections_attempted,successful_connections,total_messages_sent,total_messages_received,average_latency_ms,max_latency_ms,min_latency_ms,total_errors,total_latency_sum_ms,scenario_success_rate
3,cpp,2,10,1,10,10,10,10,1.1233525,2.237631,0.20671,0,11.233525,100.0
3,cpp,2,10,10,10,10,100,100,0.37535701,0.4931374,0.2590928,0,37.535700999999996,100.0
3,cpp,2,10,100,10,10,1000,1000,0.494118381,0.5458020499999998,0.4303120199999999,0,494.118381,100.0
3,cpp,2,10,500,10,10,5000,5000,0.38458192359999993,0.4042217959999996,0.3476074739999999,0,1922.9096179999995,100.0
3,cpp,2,10,1000,10,10,10000,10000,0.3910190562,0.42408577299999983,0.32469314899999985,0,3910.190562,100.0
3,cpp,2,10,10000,10,10,100000,100000,0.41416627480000046,0.4332780776000006,0.38518631189999963,0,41416.62748000004,100.0
3,cpp,2,20,1,20,20,20,20,1.44104515,3.125196,0.237341,0,28.820903,100.0
3,cpp,2,20,10,20,20,200,200,0.70923517,1.0826103,0.372571,0,141.847034,100.0
3,cpp,2,20,100,20,20,2000,2000,0.6564838885000001,0.7469360199999998,0.57226514,0,1312.967777,100.0
3,cpp,2,20,500,20,20,10000,10000,0.7044761381000001,0.7808881179999999,0.5959712020000002,0,7044.761381,100.0
3,cpp,2,20,1000,20,20,20000,20000,0.6513189801500002,0.712369972000001,0.5152213209999996,0,13026.379603000003,100.0
3,cpp,2,20,10000,20,20,200000,200000,0.6536884013549992,0.7033583143999987,0.5651000671999978,0,130737.68027099984,100.0
3,cpp,2,30,1,30,30,30,30,1.0845784333333335,3.706474,0.146213,0,32.537353,100.0
3,cpp,2,30,10,30,30,300,300,0.6422586566666666,1.7432613,0.24642050000000001,0,192.677597,100.0
3,cpp,2,30,100,30,30,3000,3000,1.018150666,1.1287478000000002,0.8455298199999999,0,3054.451998,100.0
3,cpp,2,30,500,30,30,15000,15000,0.9209174342000002,0.9971985460000006,0.7982570880000004,0,13813.761513000003,100.0
3,cpp,2,30,1000,30,30,30000,30000,0.7644855294333333,0.8539098619999996,0.6193358689999993,0,22934.565883,100.0
3,cpp,2,30,10000,30,30,300000,300000,0.9076626474933338,0.934017017599998,0.8742702434999963,0,272298.79424800014,100.0
3,cpp,2,40,1,40,40,40,40,1.0838256999999998,4.896875,0.160123,0,43.353027999999995,100.0
3,cpp,2,40,10,40,40,400,400,0.9987957675000001,2.4681967,0.4532889,0,399.518307,100.0
